ticket_ID,buyer_name,price,date_of_sale,used,tier,match_ID,spectator_ID
0,Michael Coffey,502,2016-10-29,1,2,-1947430082325888147,0
1,Rebecca Decker,447,2016-10-29,1,1,-1947430082325888147,1
2,Adrian Pratt,239,2016-10-29,1,3,-1947430082325888147,2
3,Heather Nguyen,397,2016-10-29,0,1,-1947430082325888147,3
4,Cheyenne Valdez,602,2016-10-29,1,1,-1947430082325888147,4
5,Kayla Robinson,316,2016-10-29,1,3,-1947430082325888147,5
6,Justin Buchanan,421,2016-10-29,1,1,-1947430082325888147,6
7,Bradley Bowers,978,2016-10-29,1,1,-1947430082325888147,7
8,Troy Nichols,128,2016-10-29,1,1,-1947430082325888147,8
9,Christian Cross,581,2016-10-29,1,1,-1947430082325888147,9
10,Jessica Carter,681,2016-10-29,1,1,-1947430082325888147,10
11,Bailey Foster,959,2016-10-29,1,1,-1947430082325888147,11
12,Melissa Byrd,209,2016-10-29,1,1,-1947430082325888147,12
13,Rhonda Torres,551,2016-10-29,1,1,-1947430082325888147,13
14,Alexander Douglas,938,2016-10-29,1,1,-1947430082325888147,14
15,Brittany Carter,142,2016-10-29,1,1,-1947430082325888147,15
16,Evelyn Bell,920,2016-10-29,1,1,-1947430082325888147,16
17,Leah Henderson,318,2016-10-29,1,1,-1947430082325888147,17
18,Ralph Matthews,955,2016-10-29,1,1,-1947430082325888147,18
19,Katie West,880,2016-10-29,1,1,-1947430082325888147,19
20,Rachel Ashley,271,2016-10-29,1,1,-1947430082325888147,20
21,Tina Harris,644,2016-10-29,1,1,-1947430082325888147,21
22,Manuel Combs,660,2016-10-29,1,1,-1947430082325888147,22
23,Jonathan Lam,410,2016-10-29,1,1,-1947430082325888147,23
24,Thomas Garcia,891,2016-10-29,1,1,-1947430082325888147,24
25,Ryan Hicks,393,2016-10-29,1,3,-1947430082325888147,25
26,Jacob Powell,433,2016-10-29,1,3,-1947430082325888147,26
27,Matthew Watson,270,2016-10-29,1,1,-1947430082325888147,27
28,Michelle Braun,307,2016-10-29,1,1,-1947430082325888147,28
29,Sherry Daniels,359,2016-10-29,1,2,-1947430082325888147,29
30,Sara Ashley,757,2016-10-29,1,1,-1947430082325888147,30
31,Jason Davidson,164,2016-10-29,1,1,-1947430082325888147,31
32,Jessica Johnson,380,2016-10-29,1,1,-1947430082325888147,32
33,Kelsey Sanchez,507,2016-10-29,1,1,-1947430082325888147,33
34,Michelle Robertson,154,2016-10-28,1,2,-1947431082338888250,34
35,Frank Mitchell,707,2016-10-28,1,1,-1947431082338888250,35
36,Stephen Ramos,629,2016-10-28,1,3,-1947431082338888250,36
37,Travis Sherman,203,2016-10-28,1,1,-1947431082338888250,37
38,Alexis Wilson,389,2016-10-28,1,2,-1947431082338888250,38
39,Madeline Barber,574,2016-10-28,1,1,-1947431082338888250,39
40,Tracy Barber,357,2016-10-28,1,2,-1947431082338888250,40
41,Eric Matthews,467,2016-10-28,1,1,-1947431082338888250,41
42,Adam Peterson,937,2016-10-28,0,1,-1947431082338888250,42
43,Jo Mccann,647,2016-10-28,1,1,-1947431082338888250,43
44,Justin Mcdonald,510,2016-10-28,1,1,-1947431082338888250,44
45,Stefanie Allen,418,2016-10-28,1,1,-1947431082338888250,45
46,Beth Keller,163,2016-10-28,1,3,-1947431082338888250,46
47,Alexander Escobar,266,2016-10-28,1,1,-1947431082338888250,47
48,Keith Roberts,458,2016-10-28,1,1,-1947431082338888250,48
49,Connie Buckley,106,2016-10-28,1,1,-1947431082338888250,49
50,Ashley Taylor,110,2016-10-28,1,1,-1947431082338888250,50
51,Katherine Schwartz,112,2016-10-28,1,2,-1947431082338888250,51
52,Sara Ferguson PhD,182,2016-10-28,1,1,-1947431082338888250,52
53,Gregory Barr,853,2016-10-28,1,2,-1947431082338888250,53
54,Christine Diaz,298,2016-10-28,1,1,-1947431082338888250,54
55,Denise Petty,300,2016-10-28,1,1,-1947431082338888250,55
56,Paula Mcclain,297,2016-10-28,1,1,-1947431082338888250,56
57,Kenneth Preston,752,2016-10-28,1,1,-1947431082338888250,57
58,Matthew Ward,839,2016-10-28,1,1,-1947431082338888250,58
59,Michelle Page,525,2016-10-28,1,1,-1947431082338888249,59
60,Brian Shaw,545,2016-10-28,1,1,-1947431082338888249,60
61,Stephen Rollins,868,2016-10-28,1,2,-1947431082338888249,61
62,Andrew Pierce,457,2016-10-28,1,1,-1947431082338888249,62
63,Samantha Cummings,677,2016-10-28,1,1,-1947431082338888249,63
64,Jamie Patton,788,2016-10-28,1,1,-1947431082338888249,64
65,Philip Boone,546,2016-10-28,1,1,-1947431082338888249,65
66,Shelley Cunningham,604,2016-10-28,1,2,-1947431082338888249,66
67,Amy Smith,154,2016-10-28,1,1,-1947431082338888249,67
68,Tricia Brooks,953,2016-10-28,1,2,-1947431082338888249,68
69,Daniel Reed,999,2016-10-28,1,1,-1947431082338888249,69
70,Jacqueline Henry,616,2016-10-28,1,2,-1947431082338888249,70
71,Corey Washington,365,2016-10-28,1,3,-1947431082338888249,71
72,Jesus Poole,558,2016-10-28,1,2,-1947431082338888249,72
73,Justin Rose,609,2016-10-28,1,1,-1947431082338888249,73
74,Raymond Lane,504,2016-10-28,1,2,-1947431082338888249,74
75,Nicole Barnes,271,2016-10-28,1,3,-1947431082338888249,75
76,Michael Dixon,211,2016-10-28,1,3,-1947431082338888249,76
77,Kevin Robinson,782,2016-10-28,1,1,-1947431082338888249,77
78,Robert Pierce,286,2016-10-28,1,1,-1947431082338888249,78
79,Cheryl Jackson,502,2016-10-28,1,1,-1947431082338888249,79
80,Anita Spencer,596,2016-10-28,1,1,-1947431082338888249,80
81,Micheal Khan,218,2016-10-28,1,1,-1947431082338888249,81
82,Wendy Lee,557,2016-10-28,1,2,-1947431082338888249,82
83,Sara Olsen,693,2016-10-28,1,1,-1947431082338888249,83
84,James Peterson,862,2016-10-28,1,1,-1947431082338888249,84
85,Kenneth Hart,356,2016-10-28,1,1,-1947431082338888249,85
86,Amy Walsh,942,2016-10-28,1,2,-1947431082338888249,86
87,Betty James,771,2016-10-28,1,1,-1947431082338888249,87
88,David Gentry,722,2016-10-28,1,1,-1947431082338888249,88
89,Jose Miranda,706,2016-10-28,1,2,-1947431082338888249,89
90,Debra Carson,499,2016-10-28,1,1,-1947431082338888249,90
91,Juan Martinez,325,2016-10-28,1,1,-1947431082338888249,91
92,Jordan Tanner,961,2016-10-28,1,1,-1947431082338888249,92
93,Diane Alvarado,286,2016-10-28,1,1,-1947431082338888249,93
94,Judith Herman,678,2016-10-28,1,1,-1947431082338888249,94
95,Raymond Davis,121,2016-10-28,1,3,-1947431082338888249,95
96,Michael Ross,357,2016-10-28,1,1,-1947431082338888249,96
97,John King,649,2016-10-28,1,2,-1947431082338888249,97
98,Sharon Taylor,460,2016-10-28,1,1,-1947431082338888249,98
99,Julie Anderson,198,2016-10-28,1,1,-1947431082338888249,99
100,Sara Blevins,986,2016-10-28,1,2,-1947431082338888249,100
101,John Taylor,697,2016-10-28,1,1,-1947431082338888249,101
102,Connie Palmer,453,2016-10-28,1,3,-1947431082338888249,102
103,Mary Mccullough,673,2016-10-28,1,2,-1947431082338888249,103
104,Judy Nunez,212,2016-10-28,1,3,-1947431082338888249,104
105,Raven Werner,467,2016-10-28,1,1,-1947431082338888249,105
106,Steven Thompson,945,2016-10-28,1,1,-1947431082338888249,106
107,Rhonda Adams,309,2016-10-28,1,1,-1947431082338888249,107
108,Timothy Morgan,956,2016-10-28,1,2,-1947431082338888249,108
109,Alyssa Perkins,416,2016-10-28,1,1,-1947431082338888249,109
110,Amanda Phelps,396,2016-10-28,1,2,-1947431082338888249,110
111,Tristan Adams,651,2016-10-28,1,1,-1947431082338888249,111
112,Sarah Morris,881,2016-10-28,1,1,-1947431082338888249,112
113,Raymond Medina,173,2016-10-28,1,1,-1947431082338888249,113
114,Austin Kaiser,427,2016-10-28,1,3,-1947431082338888249,114
115,Sherry Vaughan,696,2016-10-28,1,1,-1947431082338888249,115
116,Dustin Alexander,963,2016-10-28,1,2,-1947431082338888249,116
117,Julia Jones,266,2016-10-28,1,3,-1947431082338888249,117
118,Lonnie Morris,819,2016-10-28,1,1,-1947431082338888249,118
119,Andrea Hahn,154,2016-10-28,1,3,-1947431082338888249,119
120,Austin Lee,503,2016-10-28,1,1,-1947431082338888249,120
121,Kevin Fisher,979,2016-10-28,1,2,-1947431082338888249,121
122,Kristin White,299,2016-10-28,1,3,-1947431082338888249,122
123,Jesse Martinez,157,2016-10-28,1,2,-1947431082338888249,123
124,Greg Robbins,335,2016-10-28,1,1,-1947431082338888249,124
125,Denise Hopkins,106,2016-10-28,1,1,-1947431082338888249,125
126,Melissa Love,604,2016-10-28,1,1,-1947431082338888249,126
127,John Myers,468,2016-10-28,1,2,-1947431082338888249,127
128,Blake Gilbert,731,2016-10-28,1,1,-1947431082338888249,128
129,Kathryn Hall,540,2016-10-28,1,2,-1947431082338888249,129
130,Paul Adams,374,2016-10-28,1,1,-1947431082338888249,130
131,Ronald Clark,423,2016-10-28,1,1,-1947431082338888249,131
132,Mrs. Sara Patterson DDS,885,2016-10-28,1,1,-1947431082338888249,132
133,Lisa Foley,375,2016-10-28,1,3,-1947431082338888249,133
